SupplierPartNumber,Partnumber,Cost,CoreCost,TotalCost,Inventory
M4009,38004505,27.79,0.00,27.79,99
Delphi MF0095,38004520,21.79,0.00,21.79,99
FelPro 55001,38004531,1.10,0.00,1.10,99
6004R,38004565,35.79,0.00,35.79,99
Dorman 6101091,38004566,1.38,0.00,1.38,99
National 51322,38004583,11.94,0.00,11.94,99
Timken 9363S,38004585,3.70,0.00,3.70,99
NATIONAL 7994S,38004586,8.69,0.00,8.69,99
Dorman HW7047,38004869,5.43,0.00,5.43,99
Raybestos H7045,38004871,9.56,0.00,9.56,99
Raybestos H7102,38004872,7.08,0.00,7.08,99
HW2517,38004873,7.91,0.00,7.91,99
Raybestos Hw2516,38004874,7.91,0.00,7.91,99
Raybestos H2515,38004875,9.69,0.00,9.69,99
Raybestos H2514,38004876,7.09,0.00,7.09,99
Raybestos MC36095,38004879,44.79,0.00,44.79,99
Moog ES336R,38004951,18.18,0.00,18.18,99
70613,38004961,32.79,0.00,32.79,99
70632,38004962,42.79,0.00,42.79,99
RDS13270,38004963,3.47,0.00,3.47,99
MOOG 498,38004971,25.79,0.00,25.79,99
MK7322,38004991,9.28,0.00,9.28,99
RB82,38005004,14.72,0.00,14.72,99
Walker-35755,38005019,27.79,0.00,27.79,99
FelPro SS133641,38005298,6.31,0.00,6.31,99
WVE 1T1116,38005564,6.65,0.00,6.65,99
Gates 7470,38005575,14.09,0.00,14.09,99
152PG,38005588,36.79,0.00,36.79,99
WC17508,38005589,5.89,0.00,5.89,99
wc17507,38005590,5.88,0.00,5.88,99
Mevotech MK8157,38005599,14.55,0.00,14.55,99
Dorman 42069,38005840,5.57,0.00,5.57,99
Dorman 42068,38005841,6.39,0.00,6.39,99
M4539,38005864,49.79,0.00,49.79,99
154PG,38005879,39.79,0.00,39.79,99
2203410,38005880,8.84,0.00,8.84,99
80113,38005892,22.79,0.00,22.79,99
Edelmann 80025,38005894,41.79,0.00,41.79,99
EDEL-70653,38005896,26.79,0.00,26.79,99
National 9569S,38005971,6.76,0.00,6.76,99
151PG,38006175,20.79,0.00,20.79,99
Raybestos BH36603,38006178,17.22,0.00,17.22,99
Edlemann 70689,38006194,16.46,0.00,16.46,99
Moog ES360R,38006220,15.91,0.00,15.91,99
MOOG ES364RL,38006221,29.79,0.00,29.79,99
EDEL-70687,38006225,17.60,0.00,17.60,99
EDEL-70652,38006666,28.79,0.00,28.79,99
H36620,38006789,19.12,0.00,19.12,99
Raybestos BC92363,38006791,14.19,0.00,14.19,99
FOUR SEASONS 45950,38006899,0.94,0.00,0.94,99
Dorman 42068,38006922,6.39,0.00,6.39,99
DORMAN-W55891,38006959,13.04,0.00,13.04,99
DORMAN-W55890,38006960,13.04,0.00,13.04,99
SLS69,38007013,8.30,0.00,8.30,99
Edlemann 70691,38007136,18.16,0.00,18.16,99
TCS130751,38007139,10.86,0.00,10.86,99
WIX 58926,38007342,6.00,0.00,6.00,99
60985,38007373,2.33,0.00,2.33,99
